full_name	name	state	country	latitude	longitude	timezone
Kolkata, West Bengal, India	Kolkata	West Bengal	India	22.56263	88.36304	Asia/Kolkata
Xiamen, Fujian, China	Xiamen	Fujian	China	24.47979	118.08187	Asia/Shanghai
Surat, Gujarat, India	Surat	Gujarat	India	21.19594	72.83023	Asia/Kolkata
Yangon, Myanmar	Yangon	Yangon	Myanmar	16.80528	96.15611	Asia/Yangon
Kabul, Afghanistan	Kabul	Kabul	Afghanistan	34.52813	69.17233	Asia/Kabul
Nairobi, Nairobi County, Kenya	Nairobi	Nairobi County	Kenya	-1.28333	36.81667	Africa/Nairobi
Wuxi, Jiangsu, China	Wuxi	Jiangsu	China	31.56887	120.28857000000001	Asia/Shanghai
Giza, Egypt	Giza	Giza	Egypt	30.00944	31.20861	Africa/Cairo
Jinan, Shandong, China	Jinan	Shandong	China	36.66833	116.99722	Asia/Shanghai
Taiyuan, Shanxi, China	Taiyuan	Shanxi	China	37.86944	112.56028	Asia/Shanghai
Zhengzhou, Henan, China	Zhengzhou	Henan	China	34.75778	113.64861	Asia/Shanghai
Bamako, Mali	Bamako	Bamako	Mali	12.65	-8	Africa/Bamako
Riyadh, Riyadh Region, Saudi Arabia	Riyadh	Riyadh Region	Saudi Arabia	24.68773	46.72185	Asia/Riyadh
New Territories, NA, Hong Kong	New Territories	NA	Hong Kong	22.42441	114.11095	Asia/Hong_Kong
Shijiazhuang, Hebei, China	Shijiazhuang	Hebei	China	38.04139	114.47861	Asia/Shanghai
Chattogram, Chittagong, Bangladesh	Chattogram	Chittagong	Bangladesh	22.3384	91.83168	Asia/Dhaka
Los Angeles, California, United States	Los Angeles	California	United States	34.05223	-118.24368	America/Los_Angeles
Addis Ababa, Ethiopia	Addis Ababa	Addis Ababa	Ethiopia	9.02497	38.74689	Africa/Addis_Ababa
Kunming, Yunnan, China	Kunming	Yunnan	China	25.03889	102.71833	Asia/Shanghai
Zhongshan, Guangdong, China	Zhongshan	Guangdong	China	22.52306	113.37912	Asia/Shanghai
Nanning, Guangxi, China	Nanning	Guangxi	China	22.81667	108.31667	Asia/Shanghai
Shantou, Guangdong, China	Shantou	Guangdong	China	23.35489	116.67876	Asia/Shanghai
Yokohama, Kanagawa, Japan	Yokohama	Kanagawa	Japan	35.43333	139.65	Asia/Tokyo
Fuzhou, Fujian, China	Fuzhou	Fujian	China	26.06139	119.30611	Asia/Shanghai
Ningbo, Zhejiang, China	Ningbo	Zhejiang	China	29.87819	121.54945	Asia/Shanghai
Busan, South Korea	Busan	Busan	South Korea	35.10168	129.03004	Asia/Seoul
Casablanca, Casablanca-Settat, Morocco	Casablanca	Casablanca-Settat	Morocco	33.58831	-7.61138	Africa/Casablanca
Ibadan, Oyo State, Nigeria	Ibadan	Oyo State	Nigeria	7.37756	3.90591	Africa/Lagos
Puyang, Zhejiang, China	Puyang	Zhejiang	China	29.45679	119.88872	Asia/Shanghai
Ankara, Turkey	Ankara	Ankara	Turkey	39.91987	32.85427	Europe/Istanbul
Dubai, United Arab Emirates	Dubai	Dubai	United Arab Emirates	25.07725	55.30927	Asia/Dubai
Shiyan, Hubei, China	Shiyan	Hubei	China	32.6475	110.77806	Asia/Shanghai
Berlin, Germany	Berlin	Berlin	Germany	52.52437	13.41053	Europe/Berlin
Tangshan, Hebei, China	Tangshan	Hebei	China	39.63333	118.18333	Asia/Shanghai
Changzhou, Jiangsu, China	Changzhou	Jiangsu	China	31.77359	119.95401	Asia/Shanghai
Madrid, Spain	Madrid	Madrid	Spain	40.4165	-3.70256	Europe/Madrid
Pyongyang, North Korea	Pyongyang	Pyongyang	North Korea	39.03385	125.75432	Asia/Pyongyang
Zibo, Shandong, China	Zibo	Shandong	China	36.79056	118.06333	Asia/Shanghai
Pune, Maharashtra, India	Pune	Maharashtra	India	18.51957	73.85535	Asia/Kolkata
Durban, KwaZulu-Natal, South Africa	Durban	KwaZulu-Natal	South Africa	-29.8579	31.0292	Africa/Johannesburg
Bursa, Bursa Province, Turkey	Bursa	Bursa Province	Turkey	40.19559	29.06013	Europe/Istanbul
Changsha, Hunan, China	Changsha	Hunan	China	28.19874	112.97087	Asia/Shanghai
Guiyang, Guizhou, China	Guiyang	Guizhou	China	26.58333	106.71667	Asia/Shanghai
UEruemqi, Xinjiang, China	UEruemqi	Xinjiang	China	43.80096	87.60046	Asia/Urumqi
Lanzhou, Gansu, China	Lanzhou	Gansu	China	36.05701	103.83987	Asia/Shanghai
Caracas, Distrito Federal, Venezuela	Caracas	Distrito Federal	Venezuela	10.48801	-66.87919	America/Caracas
Incheon, South Korea	Incheon	Incheon	South Korea	37.45646	126.70515	Asia/Seoul
Huizhou, Guangdong, China	Huizhou	Guangdong	China	23.11147	114.41523	Asia/Shanghai
Buenos Aires, Buenos Aires F.D., Argentina	Buenos Aires	Buenos Aires F.D.	Argentina	-34.61315	-58.37723	America/Argentina/Buenos_Aires
Surabaya, East Java, Indonesia	Surabaya	East Java	Indonesia	-7.24917	112.75083	Asia/Jakarta
Haikou, Hainan, China	Haikou	Hainan	China	20.03421	110.34651	Asia/Shanghai
Kanpur, Uttar Pradesh, India	Kanpur	Uttar Pradesh	India	26.46523	80.34975	Asia/Kolkata
