full_name	name	state	country	latitude	longitude	timezone
Sumy, Ukraine	Sumy	Sumy	Ukraine	50.9216	34.80029	Europe/Kyiv
Augsburg, Bavaria, Germany	Augsburg	Bavaria	Germany	48.37154	10.89851	Europe/Berlin
Changle, Shandong, China	Changle	Shandong	China	36.70583	118.8275	Asia/Shanghai
Gajuwaka, Andhra Pradesh, India	Gajuwaka	Andhra Pradesh	India	17.7	83.21667	Asia/Kolkata
Jining, Inner Mongolia, China	Jining	Inner Mongolia	China	41.0275	113.10583	Asia/Shanghai
Rishon LeTsiyyon, Central District, Israel	Rishon LeTsiyyon	Central District	Israel	31.97102	34.78939	Asia/Jerusalem
Stoke-on-Trent, England, United Kingdom	Stoke-on-Trent	England	United Kingdom	53.00415	-2.18538	Europe/London
Foz do Iguacu, Parana, Brazil	Foz do Iguacu	Parana	Brazil	-25.54778	-54.58806	America/Sao_Paulo
Buffalo, New York, United States	Buffalo	New York	United States	42.88645	-78.87837	America/New_York
Verona, Veneto, Italy	Verona	Veneto	Italy	45.43854	10.9938	Europe/Rome
San Salvador de Jujuy, Jujuy, Argentina	San Salvador de Jujuy	Jujuy	Argentina	-24.19457	-65.29712	America/Argentina/Jujuy
Satna, Madhya Pradesh, India	Satna	Madhya Pradesh	India	24.57726	80.82719	Asia/Kolkata
Durham, North Carolina, United States	Durham	North Carolina	United States	35.99403	-78.89862	America/New_York
Etawah, Uttar Pradesh, India	Etawah	Uttar Pradesh	India	26.77615	79.02133	Asia/Kolkata
Rugao, Jiangsu, China	Rugao	Jiangsu	China	32.37035	120.57649	Asia/Shanghai
Gomez Palacio, Durango, Mexico	Gomez Palacio	Durango	Mexico	25.56985	-103.49588	America/Monterrey
Hiratsuka, Kanagawa, Japan	Hiratsuka	Kanagawa	Japan	35.32785	139.33735	Asia/Tokyo
Cascavel, Parana, Brazil	Cascavel	Parana	Brazil	-24.95583	-53.45528	America/Sao_Paulo
St. Petersburg, Florida, United States	St. Petersburg	Florida	United States	27.77086	-82.67927	America/New_York
L'Hospitalet de Llobregat, Catalonia, Spain	L'Hospitalet de Llobregat	Catalonia	Spain	41.35967	2.10028	Europe/Madrid
Cilacap, Central Java, Indonesia	Cilacap	Central Java	Indonesia	-7.72639	109.00944	Asia/Jakarta
Irvine, California, United States	Irvine	California	United States	33.66946	-117.82311	America/Los_Angeles
Kitchener, Ontario, Canada	Kitchener	Ontario	Canada	43.42537	-80.5112	America/Toronto
Espoo, Uusimaa, Finland	Espoo	Uusimaa	Finland	60.2052	24.6522	Europe/Helsinki
Suicheng, Jiangsu, China	Suicheng	Jiangsu	China	33.8963	117.93307	Asia/Shanghai
Nada, Hainan, China	Nada	Hainan	China	19.52134	109.57895	Asia/Shanghai
Latina, Madrid, Spain	Latina	Madrid	Spain	40.38897	-3.74569	Europe/Madrid
Los Mochis, Sinaloa, Mexico	Los Mochis	Sinaloa	Mexico	25.79302	-108.99808	America/Mazatlan
Bratsk, Irkutsk Oblast, Russia	Bratsk	Irkutsk Oblast	Russia	56.1325	101.61417	Asia/Irkutsk
Pachuca de Soto, Hidalgo, Mexico	Pachuca de Soto	Hidalgo	Mexico	20.11697	-98.73329	America/Mexico_City
Milton Keynes, England, United Kingdom	Milton Keynes	England	United Kingdom	52.04172	-0.75583	Europe/London
Indaiatuba, Sao Paulo, Brazil	Indaiatuba	Sao Paulo	Brazil	-23.08842	-47.2119	America/Sao_Paulo
Parakou, Borgou, Benin	Parakou	Borgou	Benin	9.33716	2.63031	Africa/Porto-Novo
Laredo, Texas, United States	Laredo	Texas	United States	27.50641	-99.50754	America/Chicago
Isiro, Haut-Uele, Democratic Republic of the Congo	Isiro	Haut-Uele	Democratic Republic of the Congo	2.77391	27.61603	Africa/Lubumbashi
Sari, Mazandaran, Iran	Sari	Mazandaran	Iran	36.56332	53.06009	Asia/Tehran
Durg, Chhattisgarh, India	Durg	Chhattisgarh	India	21.19147	81.27619	Asia/Kolkata
Banda Aceh, Aceh, Indonesia	Banda Aceh	Aceh	Indonesia	5.54167	95.33333	Asia/Jakarta
Oaxaca, Mexico	Oaxaca	Oaxaca	Mexico	17.06542	-96.72365	America/Mexico_City
Mossamedes, Namibe, Angola	Mossamedes	Namibe	Angola	-15.19611	12.15222	Africa/Luanda
Ikot Ekpene, Akwa Ibom State, Nigeria	Ikot Ekpene	Akwa Ibom State	Nigeria	5.18194	7.71481	Africa/Lagos
Yanzhou, Shandong, China	Yanzhou	Shandong	China	35.55278	116.82861	Asia/Shanghai
Woodlands, NA, Singapore	Woodlands	NA	Singapore	1.43801	103.78877	Asia/Singapore
Hanam, Gyeonggi-do, South Korea	Hanam	Gyeonggi-do	South Korea	37.54	127.20556	Asia/Seoul
Mueang Nonthaburi, Nonthaburi, Thailand	Mueang Nonthaburi	Nonthaburi	Thailand	13.86075	100.51477	Asia/Bangkok
Sorong, Southwest Papua, Indonesia	Sorong	Southwest Papua	Indonesia	-0.87956	131.26104	Asia/Jayapura
Novo Hamburgo, Rio Grande do Sul, Brazil	Novo Hamburgo	Rio Grande do Sul	Brazil	-29.67833	-51.13056	America/Sao_Paulo
Cox's Bazar, Chittagong, Bangladesh	Cox's Bazar	Chittagong	Bangladesh	21.43973	92.00955	Asia/Dhaka
Carabanchel, Madrid, Spain	Carabanchel	Madrid	Spain	40.39094	-3.7242	Europe/Madrid
Cotia, Sao Paulo, Brazil	Cotia	Sao Paulo	Brazil	-23.60389	-46.91917	America/Sao_Paulo
Petah Tiqva, Central District, Israel	Petah Tiqva	Central District	Israel	32.08707	34.88747	Asia/Jerusalem
Godome, Atlantique, Benin	Godome	Atlantique	Benin	6.38948	2.34581	Africa/Porto-Novo
Naihati, West Bengal, India	Naihati	West Bengal	India	22.89396	88.41521	Asia/Kolkata
Brasov, Brasov County, Romania	Brasov	Brasov County	Romania	45.64861	25.60613	Europe/Bucharest
Vitoria da Conquista, Bahia, Brazil	Vitoria da Conquista	Bahia	Brazil	-14.86611	-40.83944	America/Bahia
Laohekou, Hubei, China	Laohekou	Hubei	China	32.38583	111.66778	Asia/Shanghai
Talcahuano, Biobio, Chile	Talcahuano	Biobio	Chile	-36.72494	-73.11684	America/Santiago
Richards Bay, KwaZulu-Natal, South Africa	Richards Bay	KwaZulu-Natal	South Africa	-28.78301	32.03768	Africa/Johannesburg
Qina, Qena, Egypt	Qina	Qena	Egypt	26.164180000000002	32.72671	Africa/Cairo
El Fasher, Northern Darfur, Sudan	El Fasher	Northern Darfur	Sudan	13.62793	25.34936	Africa/Khartoum
Thies Nones, Thies, Senegal	Thies Nones	Thies	Senegal	14.78333	-16.96667	Africa/Dakar
Suihua, Heilongjiang, China	Suihua	Heilongjiang	China	46.64814	126.96656	Asia/Shanghai
Los Teques, Miranda, Venezuela	Los Teques	Miranda	Venezuela	10.34447	-67.04325	America/Caracas
Santiago del Estero, Argentina	Santiago del Estero	Santiago del Estero	Argentina	-27.79511	-64.26149	America/Argentina/Cordoba
Setif, Algeria	Setif	Setif	Algeria	36.19112	5.41373	Africa/Algiers
Barueri, Sao Paulo, Brazil	Barueri	Sao Paulo	Brazil	-23.51056	-46.87611	America/Sao_Paulo
Borujerd, Lorestan Province, Iran	Borujerd	Lorestan Province	Iran	33.8973	48.7516	Asia/Tehran
Qarchak, Tehran, Iran	Qarchak	Tehran	Iran	35.42873	51.57757	Asia/Tehran
Afyonkarahisar, Afyonkarahisar Province, Turkey	Afyonkarahisar	Afyonkarahisar Province	Turkey	38.75667	30.54333	Europe/Istanbul
Santiago de Surco, Lima region, Peru	Santiago de Surco	Lima region	Peru	-12.13588	-77.00742	America/Lima
Thika, Nairobi County, Kenya	Thika	Nairobi County	Kenya	-1.03326	37.06933	Africa/Nairobi
San Fernando, Central Luzon, Philippines	San Fernando	Central Luzon	Philippines	15.03425	120.68445	Asia/Manila
Menongue, Cuando Cobango, Angola	Menongue	Cuando Cobango	Angola	-14.6585	17.69099	Africa/Luanda
Jimma, Oromiya, Ethiopia	Jimma	Oromiya	Ethiopia	7.67344	36.83441	Africa/Addis_Ababa
Governador Valadares, Minas Gerais, Brazil	Governador Valadares	Minas Gerais	Brazil	-18.85111	-41.94944	America/Sao_Paulo
Tirupati, Andhra Pradesh, India	Tirupati	Andhra Pradesh	India	13.63551	79.41989	Asia/Kolkata
Wafangdian, Liaoning, China	Wafangdian	Liaoning	China	39.61833	122.00806	Asia/Shanghai
Sonipat, Haryana, India	Sonipat	Haryana	India	28.99478	77.01937	Asia/Kolkata
Santa Clara, Villa Clara Province, Cuba	Santa Clara	Villa Clara Province	Cuba	22.40694	-79.96472	America/Havana
Iwo, Osun State, Nigeria	Iwo	Osun State	Nigeria	7.63527	4.18156	Africa/Lagos
Libertad, Caraga, Philippines	Libertad	Caraga	Philippines	8.94417	125.50194	Asia/Manila
Altona, Hamburg, Germany	Altona	Hamburg	Germany	53.55	9.93333	Europe/Berlin
La Paz, Baja California Sur, Mexico	La Paz	Baja California Sur	Mexico	24.14231	-110.31316	America/Mazatlan
Avadi, Tamil Nadu, India	Avadi	Tamil Nadu	India	13.1147	80.10981	Asia/Kolkata
Praia Grande, Sao Paulo, Brazil	Praia Grande	Sao Paulo	Brazil	-24.00583	-46.40278	America/Sao_Paulo
Colonia del Valle, Mexico City, Mexico	Colonia del Valle	Mexico City	Mexico	19.38611	-99.16204	America/Mexico_City
Nis, Central Serbia, Serbia	Nis	Central Serbia	Serbia	43.32472	21.90333	Europe/Belgrade
Singa, Sinnar, Sudan	Singa	Sinnar	Sudan	13.1483	33.93117	Africa/Khartoum
San Bernardo, Santiago Metropolitan, Chile	San Bernardo	Santiago Metropolitan	Chile	-33.59217	-70.6996	America/Santiago
Varzea Grande, Mato Grosso, Brazil	Varzea Grande	Mato Grosso	Brazil	-15.64667	-56.1325	America/Cuiaba
Soka, Saitama, Japan	Soka	Saitama	Japan	35.83643	139.79957	Asia/Tokyo
Porto, Portugal	Porto	Porto	Portugal	41.14961	-8.61099	Europe/Lisbon
Volta Redonda, Rio de Janeiro, Brazil	Volta Redonda	Rio de Janeiro	Brazil	-22.52306	-44.10417	America/Sao_Paulo
Mzuzu, Northern Region, Malawi	Mzuzu	Northern Region	Malawi	-11.46556	34.02071	Africa/Blantyre
Navotas, Metro Manila, Philippines	Navotas	Metro Manila	Philippines	14.66667	120.95	Asia/Manila
Gasteiz / Vitoria, Basque Country, Spain	Gasteiz / Vitoria	Basque Country	Spain	42.84998	-2.67268	Europe/Madrid
Lubbock, Texas, United States	Lubbock	Texas	United States	33.57786	-101.85517	America/Chicago
Thai Nguyen, Thai Nguyen Province, Vietnam	Thai Nguyen	Thai Nguyen Province	Vietnam	21.59422	105.84817	Asia/Bangkok
Madison, Wisconsin, United States	Madison	Wisconsin	United States	43.07305	-89.40123	America/Chicago
Yamagata, Japan	Yamagata	Yamagata	Japan	38.23333	140.36667	Asia/Tokyo
Tehuacan, Puebla, Mexico	Tehuacan	Puebla	Mexico	18.46422	-97.39735	America/Mexico_City
Fukui-shi, Fukui, Japan	Fukui-shi	Fukui	Japan	36.06443	136.22257	Asia/Tokyo
Guarenas, Miranda, Venezuela	Guarenas	Miranda	Venezuela	10.47027	-66.61934	America/Caracas
Montpellier, Occitanie, France	Montpellier	Occitanie	France	43.61093	3.87635	Europe/Paris
Jimeta, Adamawa, Nigeria	Jimeta	Adamawa	Nigeria	9.27949	12.45819	Africa/Lagos
Czestochowa, Silesia, Poland	Czestochowa	Silesia	Poland	50.79646	19.12409	Europe/Warsaw
Tiruvottiyur, Tamil Nadu, India	Tiruvottiyur	Tamil Nadu	India	13.15823	80.30181	Asia/Kolkata
Beibei, Chongqing, China	Beibei	Chongqing	China	29.82739	106.43645	Asia/Shanghai
City of Westminster, England, United Kingdom	City of Westminster	England	United Kingdom	51.4975	-0.1357	Europe/London
Gilbert, Arizona, United States	Gilbert	Arizona	United States	33.35283	-111.78903	America/Phoenix
Saugor, Madhya Pradesh, India	Saugor	Madhya Pradesh	India	23.83877	78.73874	Asia/Kolkata
Chemnitz, Saxony, Germany	Chemnitz	Saxony	Germany	50.8357	12.92922	Europe/Berlin
Aksaray, Turkey	Aksaray	Aksaray	Turkey	38.37255	34.02537	Europe/Istanbul
Parana, Entre Rios, Argentina	Parana	Entre Rios	Argentina	-31.73271	-60.52897	America/Argentina/Cordoba
San Miguel, San Miguel Department, El Salvador	San Miguel	San Miguel Department	El Salvador	13.48333	-88.18333	America/El_Salvador
Hobart, Tasmania, Australia	Hobart	Tasmania	Australia	-42.87936	147.32941	Australia/Hobart
Chitato, Luanda Norte, Angola	Chitato	Luanda Norte	Angola	-7.3	20.73333	Africa/Luanda
Orsk, Orenburg Oblast, Russia	Orsk	Orenburg Oblast	Russia	51.20487	58.56685	Asia/Yekaterinburg
Vanderbijlpark, Gauteng, South Africa	Vanderbijlpark	Gauteng	South Africa	-26.71171	27.83795	Africa/Johannesburg
Coro, Falcon, Venezuela	Coro	Falcon	Venezuela	11.4045	-69.67344	America/Caracas
Kiel, Schleswig-Holstein, Germany	Kiel	Schleswig-Holstein	Germany	54.32133	10.13489	Europe/Berlin
Colombo, Parana, Brazil	Colombo	Parana	Brazil	-25.29167	-49.22417	America/Sao_Paulo
Mito, Ibaraki, Japan	Mito	Ibaraki	Japan	36.35	140.45	Asia/Tokyo
Norfolk, Virginia, United States	Norfolk	Virginia	United States	36.84681	-76.28522	America/New_York
Hami, Xinjiang, China	Hami	Xinjiang	China	42.83393	93.50601	Asia/Urumqi
Gaborone, Botswana	Gaborone	Gaborone	Botswana	-24.65451	25.90859	Africa/Gaborone
Al 'Ashir min Ramadan, Sharqia, Egypt	Al 'Ashir min Ramadan	Sharqia	Egypt	30.29636	31.74633	Africa/Cairo
Kyain Seikgyi Township, Kayin State, Myanmar	Kyain Seikgyi Township	Kayin State	Myanmar	15.82288	98.25257	Asia/Yangon
A Coruna, Galicia, Spain	A Coruna	Galicia	Spain	43.37135	-8.396	Europe/Madrid
Mau, Uttar Pradesh, India	Mau	Uttar Pradesh	India	25.94167	83.56111	Asia/Kolkata
Puerto Montt, Los Lagos Region, Chile	Puerto Montt	Los Lagos Region	Chile	-41.4693	-72.94237	America/Santiago
Northampton, England, United Kingdom	Northampton	England	United Kingdom	52.25	-0.88333	Europe/London
Juliaca, Puno, Peru	Juliaca	Puno	Peru	-15.5	-70.13333	America/Lima
Rivne, Ukraine	Rivne	Rivne	Ukraine	50.62308	26.22743	Europe/Kyiv
Sinfra, Zanzan District, Ivory Coast	Sinfra	Zanzan District	Ivory Coast	6.62103	-5.91144	Africa/Abidjan
Syktyvkar, Komi, Russia	Syktyvkar	Komi	Russia	61.664	50.815	Europe/Moscow
Fuji, Shizuoka, Japan	Fuji	Shizuoka	Japan	35.16667	138.68333	Asia/Tokyo
Gdynia, Pomerania, Poland	Gdynia	Pomerania	Poland	54.51889	18.53188	Europe/Warsaw
Gorgan, Golestan, Iran	Gorgan	Golestan	Iran	36.8427	54.44391	Asia/Tehran
Nizhnevartovsk, Khanty-Mansia, Russia	Nizhnevartovsk	Khanty-Mansia	Russia	60.9344	76.5531	Asia/Yekaterinburg
Biratnagar, Province 1, Nepal	Biratnagar	Province 1	Nepal	26.45505	87.27007	Asia/Kathmandu
Braunschweig, Lower Saxony, Germany	Braunschweig	Lower Saxony	Germany	52.26594	10.52673	Europe/Berlin
Valera, Trujillo, Venezuela	Valera	Trujillo	Venezuela	9.31778	-70.60361	America/Caracas
Sengkang New Town, NA, Singapore	Sengkang New Town	NA	Singapore	1.39167	103.89444	Asia/Singapore
Bago, Bago Region, Myanmar	Bago	Bago Region	Myanmar	17.33521	96.48135	Asia/Yangon
Tampere, Pirkanmaa, Finland	Tampere	Pirkanmaa	Finland	61.49911	23.78712	Europe/Helsinki
Bihar Sharif, Bihar, India	Bihar Sharif	Bihar	India	25.20084	85.52389	Asia/Kolkata
Baruta, Miranda, Venezuela	Baruta	Miranda	Venezuela	10.43424	-66.87558	America/Caracas
Puente de Vallecas, Madrid, Spain	Puente de Vallecas	Madrid	Spain	40.39354	-3.662	Europe/Madrid
Trabzon, Turkey	Trabzon	Trabzon	Turkey	41.005	39.72694	Europe/Istanbul
Tri-Cities, Washington, United States	Tri-Cities	Washington	United States	46.2454	-119.19617	America/Los_Angeles
Jessore, Khulna Division, Bangladesh	Jessore	Khulna Division	Bangladesh	23.16971	89.21371	Asia/Dhaka
Manisa, Turkey	Manisa	Manisa	Turkey	38.61202	27.42647	Europe/Istanbul
Louisville, Kentucky, United States	Louisville	Kentucky	United States	38.25424	-85.75941	America/Kentucky/Louisville
Santa Luzia, Minas Gerais, Brazil	Santa Luzia	Minas Gerais	Brazil	-19.76972	-43.85139	America/Sao_Paulo
Gunsan, Jeollabuk-do, South Korea	Gunsan	Jeollabuk-do	South Korea	35.97861	126.71139	Asia/Seoul
Musaffah, Abu Dhabi, United Arab Emirates	Musaffah	Abu Dhabi	United Arab Emirates	24.35893	54.48267	Asia/Dubai
Angarsk, Irkutsk Oblast, Russia	Angarsk	Irkutsk Oblast	Russia	52.53667	103.88639	Asia/Irkutsk
Mar'ino, Moscow, Russia	Mar'ino	Moscow	Russia	55.65	37.71667	Europe/Moscow
Hapur, Uttar Pradesh, India	Hapur	Uttar Pradesh	India	28.72985	77.78068	Asia/Kolkata
Bathinda, Punjab, India	Bathinda	Punjab	India	30.20747	74.93893	Asia/Kolkata
Chigasaki, Kanagawa, Japan	Chigasaki	Kanagawa	Japan	35.33638	139.40434	Asia/Tokyo
Tarakan, North Kalimantan, Indonesia	Tarakan	North Kalimantan	Indonesia	3.31332	117.59152	Asia/Makassar
Marg'ilon, Fergana, Uzbekistan	Marg'ilon	Fergana	Uzbekistan	40.47237	71.72463	Asia/Tashkent
Huayin, Shaanxi, China	Huayin	Shaanxi	China	34.56528	110.06639	Asia/Shanghai
Berbera, Woqooyi Galbeed, Somalia	Berbera	Woqooyi Galbeed	Somalia	10.43959	45.01432	Africa/Mogadishu
Ojo de Agua, Mexico	Ojo de Agua	Mexico	Mexico	19.68028	-99.01	America/Mexico_City
Jiyuan, Henan, China	Jiyuan	Henan	China	35.09	112.58	Asia/Shanghai
Gatineau, Quebec, Canada	Gatineau	Quebec	Canada	45.47723	-75.70164	America/Toronto
Tacloban, Eastern Visayas, Philippines	Tacloban	Eastern Visayas	Philippines	11.24333	125.00472	Asia/Manila
Yamato, Kanagawa, Japan	Yamato	Kanagawa	Japan	35.47276	139.45101	Asia/Tokyo
Man, Montagnes, Ivory Coast	Man	Montagnes	Ivory Coast	7.41251	-7.55383	Africa/Abidjan
Novorossiysk, Krasnodar Krai, Russia	Novorossiysk	Krasnodar Krai	Russia	44.72439	37.76752	Europe/Moscow
Reno, Nevada, United States	Reno	Nevada	United States	39.52963	-119.8138	America/Los_Angeles
Winston-Salem, North Carolina, United States	Winston-Salem	North Carolina	United States	36.09986	-80.24422	America/New_York
Probolinggo, East Java, Indonesia	Probolinggo	East Java	Indonesia	-7.7543	113.2159	Asia/Jakarta
Farrukhabad, Uttar Pradesh, India	Farrukhabad	Uttar Pradesh	India	27.39134	79.5793	Asia/Kolkata
Sancaktepe, Istanbul, Turkey	Sancaktepe	Istanbul	Turkey	41.00244	29.23187	Europe/Istanbul
Alappuzha, Kerala, India	Alappuzha	Kerala	India	9.49004	76.3264	Asia/Kolkata
Itapevi, Sao Paulo, Brazil	Itapevi	Sao Paulo	Brazil	-23.54889	-46.93417	America/Sao_Paulo
Ninh Hoa, Khanh Hoa Province, Vietnam	Ninh Hoa	Khanh Hoa Province	Vietnam	12.49187	109.12495	Asia/Ho_Chi_Minh
Marilia, Sao Paulo, Brazil	Marilia	Sao Paulo	Brazil	-22.21389	-49.94583	America/Sao_Paulo
Anantapur, Andhra Pradesh, India	Anantapur	Andhra Pradesh	India	14.67784	77.60813	Asia/Kolkata
Buenaventura, Valle del Cauca Department, Colombia	Buenaventura	Valle del Cauca Department	Colombia	3.8801	-77.03116	America/Bogota
Lankaran, Azerbaijan	Lankaran	Lankaran	Azerbaijan	38.75428	48.85062	Asia/Baku
Glendale, Arizona, United States	Glendale	Arizona	United States	33.53865	-112.18599	America/Phoenix
Almendares, Havana, Cuba	Almendares	Havana	Cuba	23.11012	-82.42322	America/Havana
Golestan, Tehran, Iran	Golestan	Tehran	Iran	35.5183	51.1819	Asia/Tehran
Khimki, Moscow Oblast, Russia	Khimki	Moscow Oblast	Russia	55.9001	37.42848	Europe/Moscow
Horlivka, Donetsk, Ukraine	Horlivka	Donetsk	Ukraine	48.33576	38.05325	Europe/Kyiv
Nacala, Nampula, Mozambique	Nacala	Nampula	Mozambique	-14.56257	40.68538	Africa/Maputo
Matsumoto, Nagano, Japan	Matsumoto	Nagano	Japan	36.23333	137.96667	Asia/Tokyo
Xiantao, Hubei, China	Xiantao	Hubei	China	30.3708	113.44294	Asia/Shanghai
Nalchik, Kabardino-Balkariya Republic, Russia	Nalchik	Kabardino-Balkariya Republic	Russia	43.49806	43.61889	Europe/Moscow
Hachinohe, Aomori, Japan	Hachinohe	Aomori	Japan	40.5	141.5	Asia/Tokyo
Gravatai, Rio Grande do Sul, Brazil	Gravatai	Rio Grande do Sul	Brazil	-29.94218	-50.99278	America/Sao_Paulo
Neyagawa, Osaka, Japan	Neyagawa	Osaka	Japan	34.76615	135.62759	Asia/Tokyo
Magdalena Contreras, Mexico City, Mexico	Magdalena Contreras	Mexico City	Mexico	19.33212	-99.21118	America/Mexico_City
Nagarpur, Dhaka Division, Bangladesh	Nagarpur	Dhaka Division	Bangladesh	24.05783	89.87696	Asia/Dhaka
Ngaoundere, Adamaoua, Cameroon	Ngaoundere	Adamaoua	Cameroon	7.32765	13.58472	Africa/Douala
Ivano-Frankivsk, Ukraine	Ivano-Frankivsk	Ivano-Frankivsk	Ukraine	48.92312	24.71248	Europe/Kyiv
Balikesir, Turkey	Balikesir	Balikesir	Turkey	39.64917	27.88611	Europe/Istanbul
Temuco, Araucania, Chile	Temuco	Araucania	Chile	-38.73965	-72.59842	America/Santiago
Krefeld, North Rhine-Westphalia, Germany	Krefeld	North Rhine-Westphalia	Germany	51.33645	6.55381	Europe/Berlin
Halle (Saale), Saxony-Anhalt, Germany	Halle (Saale)	Saxony-Anhalt	Germany	51.48158	11.97947	Europe/Berlin
Sasebo, Nagasaki, Japan	Sasebo	Nagasaki	Japan	33.16834	129.72502	Asia/Tokyo
Batangas, Calabarzon, Philippines	Batangas	Calabarzon	Philippines	13.7567	121.0584	Asia/Manila
Al Jubayl, Eastern Province, Saudi Arabia	Al Jubayl	Eastern Province	Saudi Arabia	27.0174	49.62251	Asia/Riyadh
Oldham, England, United Kingdom	Oldham	England	United Kingdom	53.54051	-2.1183	Europe/London
Pathein, Ayeyarwady, Myanmar	Pathein	Ayeyarwady	Myanmar	16.77919	94.73212	Asia/Yangon
Tegal, Central Java, Indonesia	Tegal	Central Java	Indonesia	-6.8694	109.1402	Asia/Jakarta
Hialeah, Florida, United States	Hialeah	Florida	United States	25.8576	-80.27811	America/New_York
Sylhet, Sylhet Division, Bangladesh	Sylhet	Sylhet Division	Bangladesh	24.89904	91.87198	Asia/Dhaka
Garland, Texas, United States	Garland	Texas	United States	32.91262	-96.63888	America/Chicago
Podgorica, Montenegro	Podgorica	Podgorica	Montenegro	42.44111	19.26361	Europe/Podgorica
Ratlam, Madhya Pradesh, India	Ratlam	Madhya Pradesh	India	23.33033	75.04032	Asia/Kolkata
Scottsdale, Arizona, United States	Scottsdale	Arizona	United States	33.50921	-111.89903	America/Phoenix
Irving, Texas, United States	Irving	Texas	United States	32.81402	-96.94889	America/Chicago
Centurion, Gauteng, South Africa	Centurion	Gauteng	South Africa	-25.85891	28.18577	Africa/Johannesburg
Qingzhou, Shandong, China	Qingzhou	Shandong	China	36.69667	118.47972	Asia/Shanghai
Dera Ghazi Khan, Punjab, Pakistan	Dera Ghazi Khan	Punjab	Pakistan	30.04587	70.64029	Asia/Karachi
Coatzacoalcos, Veracruz, Mexico	Coatzacoalcos	Veracruz	Mexico	18.14905	-94.4447	America/Mexico_City
Yuci, Shanxi, China	Yuci	Shanxi	China	37.68028	112.73194	Asia/Shanghai
Magdeburg, Saxony-Anhalt, Germany	Magdeburg	Saxony-Anhalt	Germany	52.12773	11.62916	Europe/Berlin
Sant Marti, Catalonia, Spain	Sant Marti	Catalonia	Spain	41.41814	2.19933	Europe/Madrid
Sahiwal, Punjab, Pakistan	Sahiwal	Punjab	Pakistan	30.66595	73.10186	Asia/Karachi
Yakutsk, Sakha, Russia	Yakutsk	Sakha	Russia	62.03389	129.73306	Asia/Yakutsk
Bole, Xinjiang, China	Bole	Xinjiang	China	44.89334	82.06993	Asia/Shanghai
Chesapeake, Virginia, United States	Chesapeake	Virginia	United States	36.81904	-76.27494	America/New_York
Caruaru, Pernambuco, Brazil	Caruaru	Pernambuco	Brazil	-8.28333	-35.97611	America/Recife
Dali, Yunnan, China	Dali	Yunnan	China	25.58474	100.21229	Asia/Shanghai
Kediri, East Java, Indonesia	Kediri	East Java	Indonesia	-7.81667	112.01667	Asia/Jakarta
Singkawang, West Kalimantan, Indonesia	Singkawang	West Kalimantan	Indonesia	0.90925	108.98463	Asia/Pontianak
Georgetown, Demerara-Mahaica, Guyana	Georgetown	Demerara-Mahaica	Guyana	6.80448	-58.15527	America/Guyana
Ramagundam, Telangana, India	Ramagundam	Telangana	India	18.755	79.474	Asia/Kolkata
Kismayo, Lower Juba, Somalia	Kismayo	Lower Juba	Somalia	-0.35817	42.54536	Africa/Mogadishu
Ibb, Ibb Governorate, Yemen	Ibb	Ibb Governorate	Yemen	13.96667	44.18333	Asia/Aden
Turkmenabat, Lebap, Turkmenistan	Turkmenabat	Lebap	Turkmenistan	39.07328	63.57861	Asia/Ashgabat
North Las Vegas, Nevada, United States	North Las Vegas	Nevada	United States	36.19886	-115.1175	America/Los_Angeles
Sivakasi, Tamil Nadu, India	Sivakasi	Tamil Nadu	India	9.44999	77.79797	Asia/Kolkata
Kindu, Maniema, Democratic Republic of the Congo	Kindu	Maniema	Democratic Republic of the Congo	-2.94373	25.92237	Africa/Lubumbashi
Rouen, Normandy, France	Rouen	Normandy	France	49.44313	1.09932	Europe/Paris
Lille, Hauts-de-France, France	Lille	Hauts-de-France	France	50.63297	3.05858	Europe/Paris
Granada, Andalusia, Spain	Granada	Andalusia	Spain	37.18817	-3.60667	Europe/Madrid
Nizhnekamsk, Tatarstan Republic, Russia	Nizhnekamsk	Tatarstan Republic	Russia	55.63657	51.82447	Europe/Moscow
Hortolandia, Sao Paulo, Brazil	Hortolandia	Sao Paulo	Brazil	-22.85833	-47.22	America/Sao_Paulo
Karur, Tamil Nadu, India	Karur	Tamil Nadu	India	10.95771	78.08095	Asia/Kolkata
Lubuklinggau, South Sumatra, Indonesia	Lubuklinggau	South Sumatra	Indonesia	-3.2945	102.8614	Asia/Jakarta
Yongkang, Taiwan	Yongkang	Taiwan	Taiwan	23.02444	120.25556	Asia/Taipei
Kaolack, Senegal	Kaolack	Kaolack	Senegal	14.15197	-16.07259	Africa/Dakar
Ooty, Tamil Nadu, India	Ooty	Tamil Nadu	India	11.4134	76.69521	Asia/Kolkata
Magugpo Poblacion, Davao Region, Philippines	Magugpo Poblacion	Davao Region	Philippines	7.4475	125.8046	Asia/Manila
Groningen, The Netherlands	Groningen	Groningen	The Netherlands	53.21917	6.56667	Europe/Amsterdam
Dzerzhinsk, Nizhny Novgorod Oblast, Russia	Dzerzhinsk	Nizhny Novgorod Oblast	Russia	56.24422	43.45543	Europe/Moscow
Pemba, Cabo Delgado Province, Mozambique	Pemba	Cabo Delgado Province	Mozambique	-12.97395	40.51775	Africa/Maputo
Mbour, Thies, Senegal	Mbour	Thies	Senegal	14.42196	-16.96375	Africa/Dakar
